date,base_value,soft_price_value,with_llm_short_value,with_llm_swing_value,with_llm_long_value,benchmark_value
2026-02-12,152905.42323959785,172041.5806990444,172041.5806990444,172041.5806990444,172041.5806990444,124999.15169800958
2026-02-13,151122.6638607294,171830.7488144935,171830.7488144935,171830.7488144935,171830.7488144935,125087.21832314396
2026-02-17,150985.17152372008,170895.64222281773,170895.64222281773,170895.64222281773,170895.64222281773,125289.04140531232
2026-02-18,153605.50631232912,172492.1058493947,172492.1058493947,172492.1058493947,172492.1058493947,125920.21168242318
2026-02-19,153615.43724201247,172164.0095294134,172164.0095294134,172164.0095294134,172164.0095294134,125588.11405165504
2026-02-20,155591.5602039621,173827.83166528822,173827.83166528822,173827.83166528822,173827.83166528822,126496.34031882507
2026-02-23,155538.1418445752,173405.17060903725,173405.17060903725,173405.17060903725,173405.17060903725,125204.64795579392
2026-02-24,155964.7325043182,174132.16753740344,174132.16753740344,174132.16753740344,174132.16753740344,126114.69961206574
2026-02-25,157100.09258441694,174628.0232118655,174628.0232118655,174628.0232118655,174628.0232118655,127178.89025973508
2026-02-26,153620.16288890067,172789.83773085588,172789.83773085588,172789.83773085588,172789.83773085588,126472.48707473346
2026-02-27,153745.61492817508,175869.21353414177,175869.21353414177,175869.21353414177,175869.21353414177,125865.17004171418
2026-03-02,155479.66506164536,175704.9633733373,175704.9633733373,175704.9633733373,175704.9633733373,125936.72977398895
2026-03-03,153070.14423646854,175480.8709546258,175480.8709546258,175480.8709546258,175480.8709546258,124826.68042465059
2026-03-04,151043.7321613489,174523.55423514044,174523.55423514044,174523.55423514044,174523.55423514044,125707.38027211299
2026-03-05,151991.39712801174,172528.09583589705,172528.09583589705,172528.09583589705,172528.09583589705,125006.48685053535
2026-03-06,152445.08501978358,172271.597485099,172271.597485099,172271.597485099,172271.597485099,123368.0153529783
2026-03-09,151668.79137803387,172833.24512819073,172833.24512819073,172833.24512819073,172833.24512819073,124448.71289350725
2026-03-10,149339.92583620714,171809.1126301389,171809.1126301389,171809.1126301389,171809.1126301389,124248.71520044073
2026-03-11,152818.10224478302,172405.2588570407,172405.2588570407,172405.2588570407,172405.2588570407,124092.76201864751
