date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-10-13,118924.47605738028,119181.75409609446,108630.24081744484,118511.65987908083,114666.18154283972,116994.56381785509,114448.82968524797,127048.80487887876,117935.89465514407
2025-10-14,117738.60801460943,119511.95596581252,109093.26568570439,118909.39271305168,114816.58592869971,116488.38078503418,113401.79086324631,124833.89353175649,117791.81812559403
2025-10-15,118896.19725657883,119574.94230308503,109455.38915520288,119382.8626790388,115912.72239237989,117419.5490113702,114368.39146451636,126371.06979024393,118314.75974324072
2025-10-16,118591.85184160036,118853.7059858259,108447.09842839933,118811.83063966583,115413.24606537586,116580.87127952676,114439.96785099966,126856.30304993309,117509.0113161923
2025-10-17,118160.77911291747,119629.53200180783,108910.68220962986,119485.52833853272,116486.56888823195,117265.81582627658,114544.87162783311,126498.9675582348,118176.02946338906
2025-10-20,119269.62902041836,120367.50381588006,109905.5046677091,120347.81802491017,117888.13221711258,118655.86067263088,114920.15409220706,127052.70796065748,119405.11158091333
2025-10-21,118699.58741744819,120157.15405698278,109264.29998232916,119793.40176012249,117885.15807632085,118179.62725224235,114851.89940544884,126063.68907034227,119403.32586818312
2025-10-22,116930.30114671864,119368.85290906696,108555.14804311164,118823.00048193506,117121.4088851841,117019.1911057223,114241.28684632575,125450.5007558101,118782.56203609586
2025-10-23,118641.73401969367,120003.39480543298,109159.25134634257,119375.52267283735,118069.75346106057,118366.86936244005,115214.95338560564,126977.67792589516,119486.93860022776
2025-10-24,120553.46280262496,121062.57366847766,110377.20060527792,120889.19696401678,118701.78945474743,119932.0564404675,116043.86853612942,128342.0171475975,120463.45125134916
2025-10-27,123050.846942845,122502.5553817687,111815.67120444583,122779.8123939082,120812.57663722169,122410.0516123536,117491.55525698749,130491.27157619795,121884.63903777096
2025-10-28,124365.25088404013,123084.7899686807,111411.14155113281,123380.51966836781,121756.02382054404,123874.77440915609,119314.62030627618,132006.25750480336,122208.36480107602
2025-10-29,124596.29074913014,122840.03568299027,111388.8570276776,123345.424492374,121941.58618829388,124278.38041624204,119054.98499877901,133277.2901774975,122267.06466283572
2025-10-30,123474.05371738375,123032.38825693399,112043.46569107292,124134.77612986803,121554.81002399318,124167.24477631997,117236.53910703142,131508.21818148944,120922.35764602998
2025-10-31,123570.68893440916,122948.7236435806,112042.93161871191,124048.08184156631,120942.16203662558,124016.99913653338,117055.2928249867,131243.69855135042,121319.01453047522
2025-11-03,124557.44890243097,122865.98296676597,112681.28949274342,124211.2504182459,121632.95748893177,124895.1681043686,117640.60232600322,131086.28621106877,121546.69290357767
2025-11-04,121067.42514755267,120570.97264518721,111846.6762865204,121111.4571246466,118232.81849975575,123142.91645899383,116392.05055957015,127690.67299931467,120105.92760807708
